CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
10.678.505/0001-63;2022-01-01;2;115438;CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL;Debêntures;15600;70;19
10.753.164/0001-43;2022-01-01;2;116942;ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.;Certificado de Recebíveis do Agronegócio;49024;184;0
10.760.260/0001-19;2022-01-01;9;127245;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Debêntures;10;13;87
10.841.050/0001-55;2022-01-01;7;127413;CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS;Debêntures;17;10;44
10.851.805/0001-00;2022-01-01;11;129575;FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL;Nota Comercial;0;0;6
11.257.352/0001-43;2022-01-01;3;120595;BSI CAPITAL SECURITIZADORA S.A.;Certificado de Recebíveis do Agronegócio;0;2;0
11.257.352/0001-43;2022-01-01;3;120595;BSI CAPITAL SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;2;6;0
11.274.829/0001-07;2022-01-01;3;121022;COMPANHIA PAULISTA DE SECURITIZAÇÃO;Debêntures;0;0;1
11.284.204/0001-18;2022-01-01;5;122733;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;Debêntures;0;4;0
11.421.994/0001-36;2022-01-01;16;124582;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;Debêntures;95;15;169
11.725.176/0001-27;2022-01-01;11;125936;BOA VISTA SERVIÇOS S.A.;Bônus de Subscrição;2;0;0
11.725.176/0001-27;2022-01-01;11;125936;BOA VISTA SERVIÇOS S.A.;Debêntures;0;4;0
11.992.680/0001-93;2022-01-01;12;125999;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Debêntures;0;4;0
12.049.631/0001-84;2022-01-01;5;127109;MOURA DUBEUX ENGENHARIA S/A;Debêntures;0;1;0
